topology,algorithm,traffic,inj_rate,avg_latency,status
mesh88,dor,transpose,0.05,33.8005,OK
mesh88,dor,transpose,0.1,57.6032,OK
mesh88,dor,transpose,0.15,76.3988,OK
mesh88,dor,transpose,0.2,98.2125,OK
mesh88,dor,transpose,0.3,119.006,OK
mesh88,dor,transpose,0.4,153.656,OK
mesh88,dor,transpose,0.5,170.114,OK
mesh88,dor,hotspot,0.01,53.2892,OK
mesh88,dor,hotspot,0.02,71.0031,OK
mesh88,dor,hotspot,0.05,167.479,OK
mesh88,dor,hotspot,0.1,268.652,OK
mesh88,dor,hotspot,0.15,325.333,OK
mesh88,dor,hotspot,0.2,351.059,OK
mesh88,dor,hotspot,0.3,405.334,OK
mesh88,dor,hotspot,0.4,434.977,OK
mesh88,dor,hotspot,0.5,450.178,OK
mesh88,adaptive_xy_yx,uniform,0.01,32.8437,OK
mesh88,adaptive_xy_yx,uniform,0.02,33.2458,OK
mesh88,adaptive_xy_yx,uniform,0.05,33.2998,OK
mesh88,adaptive_xy_yx,uniform,0.1,34.7432,OK
mesh88,adaptive_xy_yx,uniform,0.15,41.5732,OK
mesh88,adaptive_xy_yx,uniform,0.2,94.6785,OK
mesh88,adaptive_xy_yx,uniform,0.3,205.521,OK
mesh88,adaptive_xy_yx,uniform,0.4,270.432,OK
mesh88,adaptive_xy_yx,uniform,0.5,323.788,OK
mesh88,adaptive_xy_yx,transpose,0.01,32.875,OK
mesh88,adaptive_xy_yx,transpose,0.02,32.542,OK
mesh88,adaptive_xy_yx,transpose,0.05,33.8404,OK
mesh88,adaptive_xy_yx,transpose,0.1,40.5185,OK
mesh88,adaptive_xy_yx,transpose,0.15,80.037,OK
mesh88,adaptive_xy_yx,transpose,0.2,99.9601,OK
mesh88,adaptive_xy_yx,transpose,0.3,138.723,OK
mesh88,adaptive_xy_yx,transpose,0.4,155.359,OK
mesh88,adaptive_xy_yx,transpose,0.5,189.382,OK
mesh88,adaptive_xy_yx,hotspot,0.01,45.6874,OK
mesh88,adaptive_xy_yx,hotspot,0.02,113.862,OK
mesh88,adaptive_xy_yx,hotspot,0.05,185.035,OK
mesh88,adaptive_xy_yx,hotspot,0.1,252.859,OK
mesh88,adaptive_xy_yx,hotspot,0.15,285.86,OK
mesh88,adaptive_xy_yx,hotspot,0.2,320.709,OK
mesh88,adaptive_xy_yx,hotspot,0.3,387.296,OK
mesh88,adaptive_xy_yx,hotspot,0.4,412.37,OK
mesh88,adaptive_xy_yx,hotspot,0.5,444.68,OK
mesh88,min_adapt,uniform,0.01,32.6656,OK
mesh88,min_adapt,uniform,0.02,34.5236,OK
mesh88,min_adapt,uniform,0.05,36.6173,OK
mesh88,min_adapt,uniform,0.1,42.4227,OK
mesh88,min_adapt,uniform,0.15,48.0375,OK
mesh88,min_adapt,uniform,0.2,102.371,OK
mesh88,min_adapt,uniform,0.3,173.036,OK
mesh88,min_adapt,uniform,0.4,237.781,OK
mesh88,min_adapt,uniform,0.5,294.866,OK
mesh88,min_adapt,transpose,0.01,33.495,OK
mesh88,min_adapt,transpose,0.02,33.4333,OK
mesh88,min_adapt,transpose,0.05,36.5142,OK
mesh88,min_adapt,transpose,0.1,56.2948,OK
mesh88,min_adapt,transpose,0.15,78.0237,OK
mesh88,min_adapt,transpose,0.2,93.8683,OK
mesh88,min_adapt,transpose,0.3,111.051,OK
mesh88,min_adapt,transpose,0.4,151.186,OK
mesh88,min_adapt,transpose,0.5,164.168,OK
mesh88,min_adapt,hotspot,0.01,60.628,OK
mesh88,min_adapt,hotspot,0.02,73.1969,OK
mesh88,min_adapt,hotspot,0.05,157.862,OK
mesh88,min_adapt,hotspot,0.1,245.491,OK
mesh88,min_adapt,hotspot,0.15,316.35,OK
mesh88,min_adapt,hotspot,0.2,350.807,OK
mesh88,min_adapt,hotspot,0.3,397.651,OK
mesh88,min_adapt,hotspot,0.4,427.233,OK
mesh88,min_adapt,hotspot,0.5,445.92,OK
mesh88,valiant,uniform,0.01,59.4623,OK
mesh88,valiant,uniform,0.02,58.9935,OK
mesh88,valiant,uniform,0.05,64.1382,OK
mesh88,valiant,uniform,0.1,124.467,OK
mesh88,valiant,uniform,0.15,191.557,OK
mesh88,valiant,uniform,0.2,236.287,OK
mesh88,valiant,uniform,0.3,328.49,OK
mesh88,valiant,uniform,0.4,386.554,OK
mesh88,valiant,uniform,0.5,412.48,OK
mesh88,valiant,transpose,0.01,59.8138,OK
mesh88,valiant,transpose,0.02,59.8637,OK
mesh88,valiant,transpose,0.05,62.4604,OK
mesh88,valiant,transpose,0.1,78.2,OK
mesh88,valiant,transpose,0.15,80.4015,OK
mesh88,valiant,transpose,0.2,85.5433,OK
mesh88,valiant,transpose,0.3,121.401,OK
mesh88,valiant,transpose,0.4,96.6237,OK
mesh88,valiant,transpose,0.5,109.789,OK
mesh88,valiant,hotspot,0.01,121.667,OK
mesh88,valiant,hotspot,0.02,195.496,OK
mesh88,valiant,hotspot,0.05,333.398,OK
mesh88,valiant,hotspot,0.1,390.718,OK
mesh88,valiant,hotspot,0.15,402.398,OK
mesh88,valiant,hotspot,0.2,415.892,OK
mesh88,valiant,hotspot,0.3,407.831,OK
mesh88,valiant,hotspot,0.4,426.095,OK
mesh88,valiant,hotspot,0.5,415.997,OK
torus44,dor,uniform,0.01,,FAILED
torus44,dor,uniform,0.02,,FAILED
torus44,dor,uniform,0.05,,FAILED
torus44,dor,uniform,0.1,,FAILED
torus44,dor,uniform,0.15,,FAILED
torus44,dor,uniform,0.2,,FAILED
torus44,dor,uniform,0.3,,FAILED
torus44,dor,uniform,0.4,,FAILED
torus44,dor,uniform,0.5,,FAILED
torus44,dor,transpose,0.01,,FAILED
torus44,dor,transpose,0.02,,FAILED
torus44,dor,transpose,0.05,,FAILED
torus44,dor,transpose,0.1,,FAILED
torus44,dor,transpose,0.15,,FAILED
torus44,dor,transpose,0.2,,FAILED
torus44,dor,transpose,0.3,,FAILED
torus44,dor,transpose,0.4,,FAILED
torus44,dor,transpose,0.5,,FAILED
torus44,dor,hotspot,0.01,,FAILED
torus44,dor,hotspot,0.02,,FAILED
torus44,dor,hotspot,0.05,,FAILED
torus44,dor,hotspot,0.1,,FAILED
torus44,dor,hotspot,0.15,,FAILED
torus44,dor,hotspot,0.2,,FAILED
torus44,dor,hotspot,0.3,,FAILED
torus44,dor,hotspot,0.4,,FAILED
torus44,dor,hotspot,0.5,,FAILED
torus44,adaptive_xy_yx,uniform,0.01,,FAILED
torus44,adaptive_xy_yx,uniform,0.02,,FAILED
torus44,adaptive_xy_yx,uniform,0.05,,FAILED
torus44,adaptive_xy_yx,uniform,0.1,,FAILED
torus44,adaptive_xy_yx,uniform,0.15,,FAILED
torus44,adaptive_xy_yx,uniform,0.2,,FAILED
torus44,adaptive_xy_yx,uniform,0.3,,FAILED
torus44,adaptive_xy_yx,uniform,0.4,,FAILED
torus44,adaptive_xy_yx,uniform,0.5,,FAILED
torus44,adaptive_xy_yx,transpose,0.01,,FAILED
torus44,adaptive_xy_yx,transpose,0.02,,FAILED
torus44,adaptive_xy_yx,transpose,0.05,,FAILED
torus44,adaptive_xy_yx,transpose,0.1,,FAILED
torus44,adaptive_xy_yx,transpose,0.15,,FAILED
torus44,adaptive_xy_yx,transpose,0.2,,FAILED
torus44,adaptive_xy_yx,transpose,0.3,,FAILED
torus44,adaptive_xy_yx,transpose,0.4,,FAILED
torus44,adaptive_xy_yx,transpose,0.5,,FAILED
torus44,adaptive_xy_yx,hotspot,0.01,,FAILED
torus44,adaptive_xy_yx,hotspot,0.02,,FAILED
torus44,adaptive_xy_yx,hotspot,0.05,,FAILED
torus44,adaptive_xy_yx,hotspot,0.1,,FAILED
torus44,adaptive_xy_yx,hotspot,0.15,,FAILED
torus44,adaptive_xy_yx,hotspot,0.2,,FAILED
torus44,adaptive_xy_yx,hotspot,0.3,,FAILED
torus44,adaptive_xy_yx,hotspot,0.4,,FAILED
torus44,adaptive_xy_yx,hotspot,0.5,,FAILED
torus44,min_adapt,uniform,0.01,18.4706,OK
torus44,min_adapt,uniform,0.02,19.7321,OK
torus44,min_adapt,uniform,0.05,19.7328,OK
torus44,min_adapt,uniform,0.1,20.562,OK
torus44,min_adapt,uniform,0.15,22.4757,OK
torus44,min_adapt,uniform,0.2,26.6422,OK
torus44,min_adapt,uniform,0.3,140.699,OK
torus44,min_adapt,uniform,0.4,236.121,OK
torus44,min_adapt,uniform,0.5,285.162,OK
torus44,min_adapt,transpose,0.01,18.6818,OK
torus44,min_adapt,transpose,0.02,19.5375,OK
torus44,min_adapt,transpose,0.05,20.4039,OK
torus44,min_adapt,transpose,0.1,36.233,OK
torus44,min_adapt,transpose,0.15,65.2639,OK
torus44,min_adapt,transpose,0.2,108.583,OK
torus44,min_adapt,transpose,0.3,153.342,OK
torus44,min_adapt,transpose,0.4,161.839,OK
torus44,min_adapt,transpose,0.5,161.116,OK
torus44,min_adapt,hotspot,0.01,20.4118,OK
torus44,min_adapt,hotspot,0.02,22.6541,OK
torus44,min_adapt,hotspot,0.05,86.3784,OK
torus44,min_adapt,hotspot,0.1,132.276,OK
torus44,min_adapt,hotspot,0.15,194.228,OK
torus44,min_adapt,hotspot,0.2,258.922,OK
torus44,min_adapt,hotspot,0.3,329.797,OK
torus44,min_adapt,hotspot,0.4,369.505,OK
torus44,min_adapt,hotspot,0.5,393.785,OK
torus44,valiant,uniform,0.01,,FAILED
torus44,valiant,uniform,0.02,,FAILED
torus44,valiant,uniform,0.05,,FAILED
torus44,valiant,uniform,0.1,71.582,OK
torus44,valiant,uniform,0.15,163.102,OK
torus44,valiant,uniform,0.2,81.6147,OK
torus44,valiant,uniform,0.3,250.997,OK
torus44,valiant,uniform,0.4,372.74,OK
torus44,valiant,uniform,0.5,54.0593,OK
torus44,valiant,transpose,0.01,,FAILED
torus44,valiant,transpose,0.02,,FAILED
torus44,valiant,transpose,0.05,,FAILED
torus44,valiant,transpose,0.1,61.3074,OK
torus44,valiant,transpose,0.15,,FAILED
torus44,valiant,transpose,0.2,77.765,OK
torus44,valiant,transpose,0.3,69.115,OK
torus44,valiant,transpose,0.4,57.9594,OK
torus44,valiant,transpose,0.5,75.5556,OK
torus44,valiant,hotspot,0.01,37.6601,OK
torus44,valiant,hotspot,0.02,,FAILED
torus44,valiant,hotspot,0.05,,FAILED
torus44,valiant,hotspot,0.1,,FAILED
torus44,valiant,hotspot,0.15,,FAILED
torus44,valiant,hotspot,0.2,341.406,OK
torus44,valiant,hotspot,0.3,391.504,OK
torus44,valiant,hotspot,0.4,412.729,OK
torus44,valiant,hotspot,0.5,429.253,OK
